PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.3 uM,Standard Deviation,Inhibition at 8.3 uM [1],Inhibition at 8.3 uM [2],Inhibition at 8.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.3 uM.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 1.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 2.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
40,57265205,4882680,CC1(C(=O)N(C(=O)N1)CC(=O)N2CCC3=CC=CC=C3C2)C4=CC=C(C=C4)Cl,Inactive,17,,,10.61,0.378473,11.0975,10.1761,10.5483
41,4262170,839358,COC1=C(C=C(C=C1)Cl)S(=O)(=O)NC2=CC=CC=C2OC,Inactive,17,,,10.37,0.118873,10.5258,10.3282,10.2418
42,26671159,135635691,C1=CC=C(C=C1)N=C(N/N=C/C2=C(NC(=O)S2)[N+]3=CC=CC=C3)[S-],Inactive,17,,,10.31,1.48969,8.33257,11.926,10.6784
43,17388198,3190224,CC1=CC=C(C=C1)C(C(=O)NCC2CCCO2)N(CC3=CC=CC=C3F)C(=O)CN4N=C(N=N4)C5=CC=CS5,Inactive,17,,,10.17,0.565925,9.51514,10.8948,10.088
44,49646118,24747426,CC1=C2C(=C(C=C1)C(C)C)[C@@H](C[C@H](O2)C3=CC=CC=C3)C4=CC=C(C=C4)OC,Inactive,16,,,10,2.11322,10.342,12.4038,7.26101
45,121283933,51359468,CCOC1=CC=C(C=C1)CCN2[C@H](CN(C2=S)[C@@H](CC3=CC=C(C=C3)O)CN4CCC[C@@H]4CN5[C@H](CNC5=S)CC(C)C)CC(C)C,Inactive,16,,,10,0.812162,11.1121,9.19804,9.68552
46,103159390,49792587,CC1=C(C=CC(=C1)OC)C2=C3C=COC3=C(C=C2)C(=O)NC4CCCCC4,Inactive,16,,,9.99,1.20004,11.5235,9.84591,8.5943
47,144089234,46867887,CC(=O)OC[C@H]([C@@H]1[C@H](C2=C(CO1)C=C(C=C2)OC)/C=C/C3=CC=CC=C3)O,Inactive,16,,,9.86,0.636418,9.06981,10.6281,9.88733
48,17431527,865887,CC1=CC2=NC(=C(C=C2C=C1)C=C(C#N)C#N)Cl,Inactive,16,,,9.82,0.531927,10.4219,9.12897,9.91515
49,17433515,5737754,C1CC(OC1)CNC(=O)/C=C/C2=CC=CC=C2[N+](=O)[O-],Inactive,16,,,9.76,0.539943,10.4635,9.15295,9.6537
