PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.3 uM,Standard Deviation,Inhibition at 8.3 uM [1],Inhibition at 8.3 uM [2],Inhibition at 8.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.3 uM.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 1.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 2.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
257,24785817,2412434,C1=CC=C2C(=C1)C(=NC=N2)SCC(=O)NC3=CC=C(C=C3)S(=O)(=O)N,Inactive,1,,,1.13,0.289707,1.31548,1.35188,0.719926
258,4249092,3243088,CCOC(=O)CSC1=NC2=CC=CC=C2C(=N1)NCC3=CC=CO3,Inactive,1,,,1.09,1.50561,2.49613,1.77302,-0.997307
259,14741123,2939761,CC1(CC2(CC(OC2=O)(C)C(=O)CSC3=NC4=CC=CC=C4S3)C(=O)O1)C,Inactive,1,,,1.08,1.31632,1.1648,-0.579387,2.64123
260,24819942,6367682,CCOC(=O)NC(=O)/C(=C\NC1=C(C=CS1)C(=O)OC)/C#N,Inactive,1,,,1.07,0.928403,0.912602,2.28307,0.0261996
261,49678960,135401758,C1=CC=C(C=C1)C2=CC(=O)NC(=N2)SCC(=O)NC3=CC(=C(C=C3)F)F,Inactive,1,,,1.07,0.774503,0.636292,0.415358,2.15761
262,51085569,7178270,CC1=CC=CC=C1NC(=O)COC2=COC(=CC2=O)CN3CCCC4=CC=CC=C43,Inactive,1,,,1.06,0.560425,1.12368,1.71345,0.345035
263,56323655,24982577,C=CCOC1=CC=C(C=C1)/C=C/C(=O)OCC(=O)NCCCC2=CC=CC=C2,Inactive,1,,,1.06,1.32968,0.974263,-0.525675,2.72807
264,17408378,95837,CC(=O)N1C2=CC=CC=C2C3=CC=CC=C31,Inactive,1,,,1.02,0.75059,-0.0164949,1.36376,1.72549
265,24806609,1175667,CC1=NC(=CC=C1)NC(=O)CSC2=NN=NN2C3=CC4=C(C=C3)OCCO4,Inactive,1,,,1,0.149981,0.894625,0.895412,1.21318
266,125306955,53384219,CC(C)(C)OC(=O)C(C(=O)OC(C)(C)C)OC1=CC=CC=C1[N+](=O)[O-],Inactive,1,,,0.94,0.776397,1.97984,0.118771,0.710378
267,47196425,2227322,CCNS(=O)(=O)C1=CC=C(C=C1)CCC(=O)NC2=CC3=C(C=C2)OCCO3,Inactive,1,,,0.93,0.888984,2.17389,0.130681,0.500139
268,99357988,296913,C1CC2C(CC1C2C(=O)O)O,Inactive,1,,,0.82,0.535735,0.0886925,1.03061,1.35095
269,7969891,135506251,C1CCN(CC1)C(=O)CSC2=NC3=C(C=NN3C4=CC=C(C=C4)F)C(=O)N2,Inactive,1,,,0.82,0.731218,0.670772,1.78148,0.00923738
270,51086890,16822418,COC1=CC=CC(=C1)N2CC(CC2=O)NS(=O)(=O)C3=CC=CS3,Inactive,1,,,0.77,1.19337,-0.646582,0.675935,2.2723
271,24784771,3230698,C1CN(CCC1C(=O)N2CCOCC2)S(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-],Inactive,1,,,0.76,1.19382,0.15527,-0.308305,2.42394
272,17416018,5347823,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N/C=C\C(=O)C3=CC=C(C=C3)Cl)C,Inactive,1,,,0.75,1.37096,-0.0511733,2.67949,-0.378629
273,14745162,2085771,CC(C)(C)C1=CC(=C(C=C1)OC)NC(=O)C2=CC(=CN=C2)Br,Inactive,1,,,0.69,0.397225,1.11404,0.159629,0.800766
274,24793428,725229,CC1=CC=C(C=C1)C2=CSC3=C2C(=NC=N3)SCC(=O)N,Inactive,1,,,0.66,1.25183,0.336204,-0.687615,2.32744
275,24797093,3222466,CCC(C)(C)NC(=O)C(C1=CC=CC=N1)N(C2CCCCC2)C(=O)C3=CSN=N3,Inactive,1,,,0.62,0.0644677,0.710325,0.594533,0.559442
276,24792629,6471127,CCC(CC)NC(=O)NC1=CC=C(C=C1)OC,Inactive,1,,,0.62,0.910417,1.87526,0.243219,-0.256896
277,4251804,3245446,CC1=NC2=C(C=NN2C(=C1)C(F)F)C(=O)NCC3=CC=CC=C3C(F)(F)F,Inactive,0,,,0.56,1.04683,-0.918334,1.30906,1.29552
278,24812362,4621856,CC12CC(C3=CC=CC=C3O1)NC(=O)N2C4=CC=C(C=C4)OC,Inactive,0,,,0.54,1.17986,1.55635,-1.1163,1.17238
279,17433626,2189874,CC1=CC=C(C=C1)CC(=O)NC2=CC(=C(C=C2)F)[N+](=O)[O-],Inactive,0,,,0.53,0.477014,-0.118606,0.681092,1.01901
280,56316930,24687493,CCCCN1C(=C(C(=O)NC1=O)N(CCOC)C(=O)C2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)F)N,Inactive,0,,,0.43,1.24067,-0.658869,2.16551,-0.218189
281,17508640,693206,CC1=CC(=NN1C2=CC=C(C=C2)C(=O)O)C,Inactive,0,,,0.41,0.455735,1.01986,-0.0719397,0.272435
282,24811850,5342397,CN(C)C1=C(C=C(C=C1)/C=N/NC(=O)C2=CC=C(C=C2)CN3CCOCC3)Br,Inactive,0,,,0.39,1.10382,1.90794,-0.0432315,-0.688633
283,49666405,3751552,CCC(CC)C(=O)C1=CNC(=C1)C(=O)NCC2=CC=CC=C2,Inactive,0,,,0.36,1.24145,0.99219,-1.3715,1.46718
284,121283699,344344,C1=CC=C(C=C1)C=C(C2=CC=CC=C2)C(=O)C3=CC=CC=C3,Inactive,0,,,0.36,0.755315,0.29415,1.31618,-0.530441
285,47198309,2909004,CCOP(=O)(C1=CC=CC=C1)C(C2=CC=C(C=C2)[N+](=O)[O-])O,Inactive,0,,,0.36,1.12509,1.92919,-0.213555,-0.643093
286,87336293,239616,CN1CCN(CC1)C(=O)OCCOCCOC(=O)N2CCN(CC2)C,Inactive,0,,,0.27,0.103178,0.136992,0.38935,0.275103
287,22401840,986576,CC1=C(OC2=C1C=C(C=C2)F)C(=O)N3CCN(CC3)C4=CC=CC=C4OC,Inactive,0,,,0.27,0.680912,0.261216,-0.566591,1.10128
288,24782257,3193431,COC1=CC=C(C=C1)CN2C(=NN=N2)C(C3=CC4=C(C=C3)N=CC=C4)N5CCN(CC5)C6CCCCC6,Inactive,0,,,0.26,0.822582,-0.306103,-0.341571,1.42085
289,14742089,6858584,CCOC1=CC=C(C=C1)/C=N/N2C(=O)C(=NN=C2SC)C(C)(C)C,Inactive,0,,,0.24,0.65666,-0.554299,1.05409,0.235018
290,22410953,15945414,CC(C12CC3CC(C1)CC(C3)C2)NC(=O)COC(=O)[C@@H]4CCCN4S(=O)(=O)C5=CC=CC=C5F,Inactive,0,,,0.22,1.23608,1.69083,-1.33274,0.316887
291,24797561,342221,COC1=CC2=C(C=C1)C(=CC(=O)O2)CC(=O)O,Inactive,0,,,0.22,0.744869,-0.83173,0.72485,0.770896
292,56422104,15432,CCN(CC)C(=O)N1CCN(CC1)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0,,,0.16,0.499665,-0.364388,0.832245,0.0113476
293,24815877,7532084,CC1=CC=C(C=C1)CSC2=NN=C3N2N=C(C=C3)C4=CC=NC=C4,Inactive,0,,,0.1,1.15039,0.420352,-1.44514,1.3166
294,17517231,4988904,C1OC2=C(O1)C=C(C=C2)CNC(=O)CN3C4=CC=CC=C4N=C3CC5=CC=CC=C5,Inactive,0,,,0.09,1.2553,1.30049,0.610051,-1.63962
295,56322271,24982016,CCCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)COC(=O)COC3=C(C=CC=C3C)C,Inactive,0,,,-0.01,1.49325,-1.63945,-0.357344,1.96829
296,47204861,788814,C1=CC=C(C(=C1)CC(=O)NCC2=CC=C(C=C2)S(=O)(=O)N)[N+](=O)[O-],Inactive,0,,,-0.02,0.208763,0.182909,0.0729387,-0.304567
297,16953568,2116834,COC1=CC=CC(=C1)NC(=O)COC(=O)C2=CC=C(C=C2)S(=O)(=O)NCC3=CC=CO3,Inactive,0,,,-0.02,1.54591,0.0662345,1.82943,-1.95433
298,24814722,759233,C1=CC(=CN=C1)NC(=O)C2=C(C=C(C=C2)[N+](=O)[O-])Cl,Inactive,0,,,-0.07,1.12306,1.51939,-0.854766,-0.87112
299,24792253,805047,C1CN(CCC1C(=O)N)C(=S)NCC2=CC3=C(C=C2)OCO3,Inactive,0,,,-0.11,0.118499,0.0520953,-0.217453,-0.175936
300,99358245,301273,C1COCCN1C2=CC3=CC=CC4=C3C(=CC=C4)C2=O,Inactive,0,,,-0.14,0.942635,0.290759,-1.44767,0.737573
301,7967577,5308899,CC(CCC1=CC=CO1)NC(=O)CN2C3=C(C=N2)C(=O)OC4=CC=CC=C43,Inactive,0,,,-0.19,0.804588,0.451172,-1.32364,0.305841
302,47194993,4023389,CC1=CC=CC=C1C(=O)NCC(C)NC(=O)C2=CC=CC=C2C,Inactive,0,,,-0.25,1.34154,0.340301,1.01304,-2.10889
303,49670385,9661258,COC1=CC=CC(=C1)C(=O)N/N=C/2\C(=CC3=CC=CC=C3O2)C(=O)N,Inactive,0,,,-0.27,0.40048,-0.597233,0.296724,-0.500052
304,87346022,44602009,CC(C)C(C(=O)OC)N(CC1=CC(=CC(=C1)OC)OC)S(=O)(=O)CCl,Inactive,0,,,-0.29,1.13161,-1.78122,0.955918,-0.0337823
305,22416698,874291,CC1=CC(=CC=C1)NC(=O)C2=C(C=CC(=C2)Cl)[N+](=O)[O-],Inactive,0,,,-0.32,0.48912,-0.703485,-0.634382,0.366919
306,14723979,765256,C1CCN(C1)C(=O)NC2=CC(=CC=C2)Cl,Inactive,0,,,-0.35,0.147336,-0.151057,-0.494253,-0.419338
307,14743777,2468245,CCOC(=O)CN1C(=O)OC(=N1)C2=CC=C(C=C2)F,Inactive,0,,,-0.36,0.932096,-0.0370393,0.590459,-1.62442
308,17513335,5599895,CCCCCCN1C(=O)C2=NC3=C(C=C(C(=C3)C)N)N=C2NC1=O,Inactive,0,,,-0.43,1.63905,-2.50129,1.50758,-0.307487
309,49822141,17578782,CCN(C1CCS(=O)(=O)C1)C(=O)C(C)N2C(=O)/C(=C/C3=CC=CO3)/SC2=S,Inactive,0,,,-0.45,2.26811,0.470767,1.74791,-3.57321
310,87341709,42627892,CC(C)C(=O)N[C@H]1[C@H](CCC2=CC=CC=C12)OCC3=CC=CC=C3,Inactive,0,,,-0.45,1.52868,-2.48315,1.20691,-0.0872833
311,49819102,2166679,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CC3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,-0.49,0.413266,-0.380793,-1.03992,-0.0449854
312,14744728,9551932,CNCCC1C2=CC=CC=C2OC3=CC=CC=C3S1.C(=O)(C(=O)O)O,Inactive,0,,,-0.51,0.324101,-0.948703,-0.17776,-0.399149
313,7973411,789519,C1=CC=C(C=C1)P(=O)(CC(=O)NN2C=NN=C2)C3=CC=CC=C3,Inactive,0,,,-0.53,0.359374,-0.483559,-0.110739,-0.987748
314,49817354,135550914,C1=CC=C(C=C1)/C(=N/N=C/C2=C(NC(=O)S2)[N+]3=CC4=CC=CC=C4C=C3)/[O-],Inactive,0,,,-0.55,1.29152,-2.18673,0.97096,-0.441098
315,85200385,44201507,C=CC[C@@H](CC1=CC=C(C=C1)F)C(=O)OC[C@H](CC2=CC=CC=C2)NC(=O)[C@@H](CC=C)CC(=O)N(CCO)CC3=CC=CC=C3,Inactive,0,,,-0.58,0.774613,0.512892,-1.01742,-1.22372
316,17512358,3740417,CC1=C(C=CC(=C1)C(C(=O)OC)(C(F)(F)F)O)N=CC2=CC=CC=C2O,Inactive,0,,,-0.58,0.856025,-1.36379,-0.984546,0.611789
317,85146349,44142234,CC1=CC=C(C=C1)S(=O)(=O)N2[C@@H](C([C@@H](C3=C2C=CC(=C3)C)C=C)(C#N)C#N)C4=CC=CC=C4,Inactive,0,,,-0.61,0.263911,-0.599532,-0.934971,-0.288679
318,49729200,1241283,C1CCC(CC1)C(=O)NC2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,0,,,-0.67,0.452586,-1.23785,-0.129871,-0.651564
319,3712495,2998042,C1=CC2=NC(=CN2C=C1)CSC3=NN=C(O3)C4=CC=CO4,Inactive,0,,,-0.67,0.459949,-0.0308921,-1.07662,-0.916839
320,49721648,20927104,C1CCN(CC1)S(=O)(=O)C2=CC=C(O2)C3=NNC(=O)C=C3,Inactive,0,,,-0.68,0.605298,0.14823,-0.909925,-1.28027
321,49715946,3527826,C1=CC(=CC(=C1)Cl)NC(=O)CSC2=NN=C(O2)CNC(=O)C3=CC=CO3,Inactive,0,,,-0.7,0.0565598,-0.620682,-0.711919,-0.756591
322,14731331,9550092,CCCS(=O)(=O)N1C(=CC(=N1)C2=CC=C(C=C2)C)N,Inactive,0,,,-0.74,1.31187,-1.21506,1.05327,-2.05207
323,4256030,973789,CC1=CC2=C(C=C1C)N(C=N2)S(=O)(=O)N3CCCCC3,Inactive,0,,,-0.77,1.80858,1.68678,-1.40168,-2.60796
324,56323198,24982382,CN(C)C(CNC(=O)C1=CC(=CC=C1)S(=O)(=O)NC2=CC=CC=C2OC)C3=CC=CO3,Inactive,0,,,-0.81,0.768464,-0.26852,-1.89482,-0.260836
325,845528,647877,CC1=CC=C(C=C1)C2=NN(C(=N2)N)S(=O)(=O)C3=CC=C(C=C3)NC(=O)C,Inactive,0,,,-0.88,1.38476,-2.47387,0.903028,-1.06189
326,93576602,45479730,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=C\C(=O)[O-])\C(=O)[O-],Inactive,0,,,-0.89,0.893076,-0.726372,0.118761,-2.05122
327,14747165,2422420,CCOC(=O)C1=CC=C(C=C1)NC2=NS(=O)(=O)C3=C(S2)C=CC(=C3)F,Inactive,0,,,-0.99,0.679264,-1.36445,-1.56307,-0.033125
328,57258879,25162841,CCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)COC(=O)C3=C(C=CC(=C3)Cl)OC,Inactive,0,,,-1,1.33393,-1.70402,-2.16551,0.86655
329,4250755,3244521,CCOC1=CC=C(C=C1)NC(=O)CN2CCN(CC2)CC(=O)NC3=CC4=C(C=C3)OCCO4,Inactive,0,,,-1,1.57543,0.961143,-2.89607,-1.0692
330,24782745,3136911,C1C(CC(=O)C=C1NNC(=O)C2=CN=CC=C2)C3=CC=CO3,Inactive,0,,,-1.18,1.15103,-1.18892,0.2291,-2.59032
331,56324965,24686799,C1COCCN1C2=NC(=CS2)C(=O)NNC(=O)C3=CC(=NC4=CC=CC=C43)C5=CC=CC=C5,Inactive,0,,,-1.21,0.217573,-1.45409,-0.924937,-1.24446
332,850913,653459,C1CN(CCN1CC(=O)N(C2=CC=CC=C2)C3=CC4=CC=CC=C4C=C3)C5=CC=CC=N5,Inactive,0,,,-1.3,0.331658,-1.32101,-1.68941,-0.878159
333,49642333,3224967,CC1C(=O)N(C2=CC=CC=C2O1)CC(=O)NC3=CC(=C(C=C3)OC)OC,Inactive,0,,,-1.33,2.0472,-4.20463,-0.145261,0.374696
334,4256302,1242503,CCOC1=CC=C(C=C1)NC2=C(N=C(O2)CC3=CC=CC=C3)C#N,Inactive,0,,,-1.34,1.5421,-0.801548,0.213543,-3.44496
335,22401969,6624370,CCC1=NC2=C(C=CC(=C2)C(=O)O)SC3=C1C=C(C=C3)Cl,Inactive,0,,,-1.36,0.704908,-2.15984,-0.444118,-1.47009
336,85199979,2368096,CC1=CN=C(C=N1)C(=O)OCC(=O)NC2=CC=CC=C2SC,Inactive,0,,,-1.37,0.815747,-2.49625,-1.03318,-0.586127
337,4265251,1288488,CC1=CC(=C(C(=C1Cl)C)S(=O)(=O)NCC2=CC3=C(C=C2)OCO3)OC,Inactive,0,,,-1.48,0.923723,-2.73472,-1.15885,-0.540668
338,144097541,60159381,CC1=CC=C(C=C1)C2=C(OC(=O)C3=CC=CC=C32)C(=O)NCCCSC,Inactive,0,,,-1.5,0.794762,-2.06009,-0.372054,-2.0559
339,4242024,3236929,CC1=CC=C(C=C1)CN2C(=C3C=NN(C(=O)C3=C2C)CC(=O)NC)C,Inactive,0,,,-1.52,0.413772,-2.065,-1.43972,-1.06156
340,4249161,3243150,CC1=C(SC(=C1C(=O)OC)S(=O)(=O)N2CCN(CC2)C3=CC=CC=C3)C(=O)OC,Inactive,0,,,-1.52,1.29052,0.0319062,-3.12796,-1.47125
341,49724720,6464017,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=CC=CO4,Inactive,0,,,-1.67,1.22018,-1.39095,-3.28699,-0.33808
342,24824406,459531,C1=CN=CC(=C1C(=O)O)N,Inactive,0,,,-1.67,0.746231,-1.24345,-1.05253,-2.72233
343,49668763,2286949,COC1=CC=CC=C1N(CC(=O)NCCSCC2=CC=CC=C2)S(=O)(=O)C,Inactive,0,,,-1.68,0.3246,-2.13906,-1.41108,-1.49816
344,85146904,44142760,CCOC(=O)[C@H]1[C@H]2COC3=CC=CC=C3[C@@H]2N4[C@]1(C(=O)N(CC4=O)CC5=CC=C(C=C5)C)C,Inactive,0,,,-1.73,1.15652,-0.653084,-1.20265,-3.3346
345,22412292,851916,COC(=O)/C=C/C(=O)NC1=CC=CC(=C1)C(F)(F)F,Inactive,0,,,-1.78,0.721908,-1.23643,-1.29892,-2.79812
346,56319089,16285055,C1=CSC(=C1)C(=O)NCC(=O)OCC(=O)NC2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-],Inactive,0,,,-1.79,0.351523,-1.86736,-1.32044,-2.16985
347,24825396,135439824,COC1=CC=C(C=C1)CCNC(=O)CC2C(=O)NC(=NCC3=CC=CC=C3)S2,Inactive,0,,,-1.8,0.691594,-2.72621,-1.61294,-1.06375
348,26731727,2806315,C1=CC(=CC=C1C2=CN=CO2)NC(=O)NC(=O)C3=CC=C(C=C3)C(F)(F)F,Inactive,0,,,-1.83,1.75383,-1.68051,-4.04629,0.242064
349,49679177,24762021,COC1=C(C=C(C=C1)S(=O)(=O)C2=CNC(=S)NC2=O)Cl,Inactive,0,,,-1.93,0.680929,-1.12947,-1.8546,-2.79286
350,49648585,929646,C1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC(=CC=C3)Cl,Inactive,0,,,-1.94,0.138872,-2.07522,-1.98608,-1.74635
351,17510106,4055124,COC1=CC=C(C=C1)N2C(SCC2=O)C3=C(C(=CC=C3)OC)OC,Inactive,0,,,-1.98,0.644131,-1.78231,-1.31617,-2.85466
352,859735,661039,C1COC2(O1)CC=C3[C@H](C2)[C@H](C(C(=C3C#N)N)(C#N)C#N)C4=C(C=CC=C4F)F,Inactive,0,,,-2.01,0.389611,-2.53528,-1.60061,-1.90097
353,17515884,4051302,C1COCCN1C2=C3C=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCOC(=O)C5=CC=CC=C5Cl,Inactive,0,,,-2.03,0.203263,-2.30689,-1.94501,-1.82981
354,14729575,16412240,C=CCN\1C(=O)C(S/C1=N/N=C/C2=CC=CS2)CC3=CC=CC=C3,Inactive,0,,,-2.03,1.19644,-1.48792,-3.6934,-0.919284
355,47198037,786178,COC1=CC=C(C=C1)C2=C(C(=O)ON2)N=NC3=CC=C(C=C3)OC,Inactive,0,,,-2.03,0.974864,-1.09874,-3.37859,-1.62356
356,49733387,3191553,CCOC1=C(C=CC(=C1)C(C(=O)NCC2CCCO2)N(C3=CC=C(C=C3)NC(=O)C)C(=O)CN4C5=CC=CC=C5N=N4)O,Inactive,0,,,-2.04,0.674246,-2.9751,-1.40459,-1.7473
357,49735459,22550110,CC1C(=O)NC2=C(S1)C=CC(=C2)S(=O)(=O)NC3=CC=C(C=C3)OC,Inactive,0,,,-2.09,0.265622,-2.3954,-1.74679,-2.11556
358,7965329,5307562,CC1=C(C=CC(=C1)S(=O)(=O)N2C(=CC(=N2)C3=CC=CC=C3OC)N)F,Inactive,0,,,-2.11,1.43361,-0.212525,-2.43774,-3.67776
359,49719966,20936526,CC1=NOC(=C1)C2=CC(=C(C=C2)C(C)C)S(=O)(=O)NC3=CC=CC=N3,Inactive,0,,,-2.14,0.0679842,-2.21224,-2.04968,-2.16228
360,14740599,2129848,CCOC(=O)C1=C(OC2=C1C(=C(C=C2)O)CN3CCCC3)C4=CC=CC=C4,Inactive,0,,,-2.16,0.697029,-2.34278,-2.90407,-1.22699
361,92764278,384845,CC1C(C2=CC3=C(C=C2OC1NCC4=CC=CC=C4)OCO3)C5=CC(=C(C(=C5)OC)OC)OC,Inactive,0,,,-2.16,0.692569,-1.54929,-1.79827,-3.12703
362,144089694,60156710,COC(=O)C1CN(CCS(=O)(=O)N1CC2=CC=CC=C2)C3CCCC3,Inactive,0,,,-2.21,0.830952,-1.34497,-3.3288,-1.94254
363,24799428,16191099,CC1=CC=CC=C1[C@@H]2C[C@H]3CN(C(=O)[C@@]34N2CCC4)CC5=CC=CC=C5OC,Inactive,0,,,-2.29,0.158556,-2.07184,-2.35498,-2.44363
364,99360986,2725270,CC1=CC(=O)N(C(=S)N1)CC2=CC=CO2,Inactive,0,,,-2.3,0.251525,-2.09652,-2.6586,-2.15907
365,26658865,3052784,C1COCCOC2=C(C=C(C=C2)C(=O)C3=CC=CC=C3)OCCOCCO1,Inactive,0,,,-2.33,1.13237,-3.85845,-1.14863,-1.99084
366,862144,663370,CN(CC1=CC2=C(C=CC(=C2)OC)NC1=O)C(=O)C3=CC=NC=C3,Inactive,0,,,-2.34,0.664556,-2.26198,-1.56831,-3.19048
367,862810,664043,C1C=CCC2C1C(=O)N(C2=O)C3=NN(C(=N3)N)C4=CC=CC=C4,Inactive,0,,,-2.4,1.00762,-3.66569,-2.33477,-1.20014
368,57269198,2480730,COC1=CC=C(C=C1)N(CC(=O)NCC2=CC3=C(C=C2)OCO3)S(=O)(=O)C4=CC(=C(C=C4)O)C(=O)O,Inactive,0,,,-2.4,0.26779,-2.04293,-2.68568,-2.47768
369,24815993,9660103,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NCC(=O)N/N=C/C2=CC=CS2,Inactive,0,,,-2.41,1.07006,-2.081,-3.85794,-1.3008
370,24796476,135433306,COC1=CC=CC(=C1O)/C=N\NC(=O)C2=CC=C(O2)CN3C=C(C(=N3)[N+](=O)[O-])Br,Inactive,0,,,-2.46,0.582214,-1.64152,-2.92709,-2.81896
371,862627,663861,CC1=C(C2=CC=CC=C2N1)C(=O)CN3CCN(CC3)C4=CC=CC=C4OC,Inactive,0,,,-2.5,0.750159,-1.72853,-3.51702,-2.25769
372,24832163,2091904,CN(C1=CC=CC=C1OC)S(=O)(=O)C2=CC=C(C=C2)C(=O)OCC(=O)NCC(F)(F)F,Inactive,0,,,-2.5,0.279661,-2.13395,-2.56805,-2.80993
373,85268263,2352738,C1CCC(CC1)CNC(=O)COC(=O)C2=CC=C(C=C2)Cl,Inactive,0,,,-2.56,0.697473,-1.60445,-2.84587,-3.24166
374,7973571,987926,COC1=CC=CC=C1N2CCN(CC2)C(=O)COC3=CC=CC=C3OC,Inactive,0,,,-2.56,0.533037,-1.82581,-3.06361,-2.80452
375,24799388,16191059,CN1C=C(C(=N1)C2=CC=C(C=C2)OC3=CC=CC=C3)CNCC4CCCN(C4)CCOC,Inactive,0,,,-2.58,0.765572,-3.64269,-2.24216,-1.86244
376,26662544,1382193,CC(C)C(=O)NC1=NN=C(S1)COC2=CC=C(C=C2)Cl,Inactive,0,,,-2.62,0.138949,-2.52696,-2.81966,-2.52288
377,49673516,2351762,CCOC(=O)C1CCN(CC1)CC(=O)N2CCC3=CC=CC=C32,Inactive,0,,,-2.67,0.333575,-2.50256,-3.14036,-2.37915
378,99494408,46947950,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC(=CC=C3)C(F)(F)F)C4=CC=CC=C4N(C)C,Inactive,0,,,-2.7,0.928177,-1.53535,-2.75248,-3.80697
379,24798407,16190078,CCOC(=O)C1(CCN(CC1)CC2=NOC=C2)CC3=CC(=CC=C3)F,Inactive,0,,,-2.72,0.725233,-3.38347,-1.71046,-3.06427
380,49673463,2598395,COC1=C(C=C(C=C1)CCC(=O)N2CCN(CC2)C3=CC=CC=C3)OC,Inactive,0,,,-2.83,1.62917,-2.27306,-5.04952,-1.17887
381,24840507,3433652,CC(C(=O)NC1=NC=C(C=C1)Cl)OC(=O)C2=CC=CO2,Inactive,0,,,-2.91,1.53815,-2.23797,-5.03616,-1.45207
382,49675152,2344980,COC1=C(C(=CC=C1)OC)C(=O)OCC(=O)NCCCC2=CC=CC=C2,Inactive,0,,,-2.94,0.131867,-2.79549,-2.90849,-3.11405
383,26660466,16682089,CCC(C)[C@@H](C(=O)O)NC(=O)N1CCC(CC1)C,Inactive,0,,,-3.13,0.739993,-3.91193,-2.13777,-3.34644
384,14731713,6622683,CCC1=CC=C(C=C1)CNC(=O)C2=CC3=C(O2)C4=CC=CC=C4N=C3C,Inactive,0,,,-3.17,0.831175,-2.22565,-3.02363,-4.24675
385,24796583,3217805,CCC1=CC=CC=C1NC(=S)NC2CC3CCC(C2)N3CC4=CC=C(C=C4)F,Inactive,0,,,-3.28,0.875279,-2.72275,-2.60054,-4.51537
386,57269165,16325118,C1=CC=C2C(=C1)C(=NN(C2=O)CC(=O)NC3=C(C=CC(=C3)C(F)(F)F)N4C=NC=N4)C(=O)O,Inactive,0,,,-3.33,0.368659,-3.58939,-2.80547,-3.58562
387,49725032,3181133,COCCN1C(=NN=C1SCC(=O)NC2CCCCC2)COC3=CC=CC(=C3)OC,Inactive,0,,,-3.36,0.185307,-3.21906,-3.61744,-3.22985
388,99495723,1034643,CC1=CC=C(C=C1)C2=C(C(=O)N(C(=C2C#N)N)C3=CC=C(C=C3)Cl)C#N,Inactive,0,,,-3.37,1.21456,-1.87546,-4.85045,-3.37779
389,4245091,569941,CC1CN(OC(O1)C2=CC3=C(C=C2)OCO3)C(=O)C4=CC=CC=C4,Inactive,0,,,-3.41,0.152888,-3.5499,-3.19552,-3.47758
390,57265587,9036557,COC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)CC(=O)NCCC3=CC=CS3,Inactive,0,,,-3.41,0.48521,-2.79074,-3.97386,-3.48025
391,24840267,2570263,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)C2=NN=C(N2C)SCC3=NC=C(O3)C4=CC=CC=C4,Inactive,0,,,-3.51,0.405068,-3.83582,-2.94111,-3.75993
392,85199076,9101107,C1CN(CCN1C2=CC=CC=N2)C(=O)CCNC(=O)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,-3.8,1.37336,-3.14483,-5.71639,-2.55237
393,24801145,821178,C1=CC=C(C=C1)CC(=O)NNC2=NS(=O)(=O)C3=CC=CC=C32,Inactive,0,,,-3.85,0.993063,-5.21148,-2.86688,-3.47798
394,24788874,4306414,COC1=CC=C(C=C1)CC(=O)NCC2=NNC(=S)N2C3=CC=CC=C3OC,Inactive,0,,,-4.02,1.05599,-2.73939,-5.32535,-3.9813
